房子标题,小区名字,小区地址,相关信息,房价总价/万,每平方价格
户型带大阳台带阁楼，户型方正精装修，保养新,菁英趣庭 ,宝安中心,3室1厅 | 73.74平米 | 西北 | 精装 | 高楼层(共20层) | 2007年建 | 板塔结合,880,119339
大运地铁口 颐安二期 朝南三房 户型方正 业主诚意出售,颐安都会中央二期 ,大运新城,3室2厅 | 76.97平米 | 东 南 | 毛坯 | 低楼层(共30层) | 2016年建 | 塔楼,468,60803
车公庙商圈+地铁口物业+安静看小区花园+租金效益好,花好园 ,上下沙,1室1厅 | 40.85平米 | 西 | 简装 | 低楼层(共32层) | 2005年建 | 板塔结合,398,97430
绅宝花园 3室1厅 715万,绅宝花园 ,梅林,3室1厅 | 103.3平米 | 南 | 简装 | 高楼层(共12层) | 1999年建 | 板塔结合,715,69216
前海地铁口物业 实用精装复式2房 带大阳台 随时看房,东方银座公馆 ,前海,2室1厅 | 66.98平米 | 东南 | 简装 | 低楼层(共31层) | 2011年建 | 塔楼,635,94805
大芬地铁口。沃尔玛，户型实用。大阳台，东南朝向,怡康家园 ,布吉大芬,1室1厅 | 32平米 | 东南 | 简装 | 中楼层(共16层) | 2005年建 | 板塔结合,160,50000
地铁口 正规两房东南朝向 区政府成熟配套 交通便利,雅豪祥苑 ,龙岗中心城,2室1厅 | 68.73平米 | 东南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,222,32301
满二，双阳台南向安静大两房，看花园泳池,雷圳碧榕湾 ,前海,2室1厅 | 81.28平米 | 西南 | 精装 | 低楼层(共29层) | 2009年建 | 板塔结合,860,105808
此房满五年唯一，精装修，户型方正，离地铁近,佳兆业新都汇 ,布吉南岭,2室1厅 | 68.42平米 | 东南 | 精装 | 高楼层(共41层) | 2013年建 | 板塔结合,390,57001
地铁口物业 住家方便 楼下沃尔玛 旁边公园 业主诚心卖,旭飞华达园 ,百仕达,1室1厅 | 35.56平米 | 北 | 简装 | 21层 | 2002年建 | 塔楼,178,50057
端头位置 正规1+1房 朝南向 有钥匙看房方便,森雅谷润筑园 ,大运新城,1室1厅 | 49.53平米 | 西南 | 简装 | 中楼层(共16层) | 2010年建 | 板塔结合,199,40178
看湖看湖 一线湖景 背山面湖  山水资源,天峦湖 ,坪山,3室2厅 | 87.03平米 | 东南 | 精装 | 中楼层(共32层) | 2015年建 | 板塔结合,,43641
招商华侨城曦城一二期 11室2厅 2600万,招商华侨城曦城一二期 ,曦城,11室2厅 | 264.2平米 | 东南 | 精装 | 1层 | 2007年建 | 暂无数据 | 联排别墅 ,2600,98411
海岸城商圈，精装修双阳台一房一厅，可拎包入住,金海岸大厦 ,后海,1室1厅 | 43.09平米 | 东北 | 精装 | 中楼层(共30层) | 2003年建 | 塔楼,430,99792
新上红本满五精装三房，税费低，位置安静，看房方便,特发和平里二期 ,上塘,3室2厅 | 86.69平米 | 南 | 精装 | 低楼层(共49层) | 2015年建 | 塔楼,700,80748
急售两房 龙珠花园 看花园大两房 落地飘窗 布吉地铁口,龙珠花园A区 ,布吉关,2室1厅 | 70.89平米 | 西北 | 简装 | 低楼层(共29层) | 1999年建 | 板塔结合,260,36677
纯地铁口物业，高楼层视野开阔，业主诚心出售,东方明珠城 ,龙岗中心城,4室1厅 | 106.62平米 | 南 | 精装 | 高楼层(共32层) | 2007年建 | 塔楼,348,32640
新天地名居特殊户型 挑高3.2米 业主诚心出售,新天地名居 ,黄贝岭,1室1厅 | 38.44平米 | 东北 | 精装 | 高楼层(共31层) | 2005年建 | 板塔结合,260,67638
紫薇花园 满五年 带装修 中间楼层,紫薇花园 ,龙岗中心城,3室1厅 | 95平米 | 西南 | 简装 | 中楼层(共8层) | 1997年建 | 塔楼,380,40000
中楼层，税费少，采光充足，朝向好,德福花园 ,布吉街,2室1厅 | 50.82平米 | 南 | 简装 | 中楼层(共8层) | 1998年建 | 板塔结合,202,39749
地铁口 朝南毛坯房三房两厅两卫  实用率超高,宝安山庄 ,松岗,3室2厅 | 89.93平米 | 南 | 毛坯 | 高楼层(共17层) | 2012年建 | 板塔结合,430,47815
桂芳园一期 2室2厅 298万,桂芳园一期 ,布吉大芬,2室2厅 | 65.45平米 | 西南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,298,45531
佳兆业可园一期 4室1厅 630万,佳兆业可园一期 ,布吉关,4室1厅 | 117.79平米 | 北 | 简装 | 中楼层(共8层) | 2005年建 | 板楼,630,53486
尚水天成地铁口5房红本在手业主诚心出售,尚水天成 ,布吉水径,5室1厅 | 126.08平米 | 南 | 精装 | 低楼层(共33层) | 2016年建 | 板塔结合,700,55521
满五年红本在手，免增值税，通透三房看花园,深圳海航城 ,龙岗双龙,3室1厅 | 85.21平米 | 西北 | 精装 | 高楼层(共33层) | 2016年建 | 板塔结合,345,40489
信和自由广场 2006年 花园社区 西南向 两室一厅,信和自由广场 ,后海,2室1厅 | 67.9平米 | 西南 | 简装 | 高楼层(共26层) | 2006年建 | 塔楼,670,98675
待*小区，满两年，诚心出售，价格靠谱,八卦岭宿舍 ,八卦岭,1室0厅 | 25.94平米 | 南 | 简装 | 高楼层(共7层) | 1985年建 | 板塔结合,235,90594
大运新城 荷坳地铁口物业 满五唯一 税费少,水晶之城 ,横岗,2室1厅 | 66.89平米 | 西南 | 简装 | 中楼层(共6层) | 2003年建 | 板塔结合,260,38870
店长推： 满五唯一，3+1户型，二楼书房带阳台,金地名峰 ,龙岗宝荷,4室1厅 | 89.32平米 | 北 南 | 精装 | 低楼层(共32层) | 2014年建 | 板塔结合,350,39185
此房满五年唯一，税费少，户型通透双阳台，东南朝向,湖彬苑 ,西丽,2室1厅 | 66.82平米 | 东南 | 简装 | 高楼层(共18层) | 2007年建 | 塔楼,658,98474
慢城三期 一梯两户 花园中间 一手业主红本 看花园,慢城三期 ,布吉石芽岭,3室1厅 | 120平米 | 东南 | 精装 | 中楼层(共11层) | 2008年建 | 板塔结合,540,45000
地铁精装4房 东南朝向看房园 位置安静 中高层,万象新天 ,西乡,4室1厅 | 77.49平米 | 东南 | 简装 | 中楼层(共14层) | 2013年建 | 塔楼,658,84915
锦缘里2+1房 精装修 新社区 高楼层 景观好,锦缘里嘉园 ,新秀,3室2厅 | 71.27平米 | 南 | 精装 | 中楼层(共30层) | 2015年建 | 塔楼,480,67350
振业峦山谷 沃尔玛楼下 朝南看花园  诚心出售,振业峦山谷 ,龙岗宝荷,2室1厅 | 59.18平米 | 南 | 精装 | 低楼层(共29层) | 2009年建 | 板塔结合,210,35485
近地铁 优质两房 采光通风楼层好 满五唯一 红本在手,龙珠花园C区 ,布吉关,2室1厅 | 59.02平米 | 东 | 简装 | 中楼层(共30层) | 1999年建 | 板塔结合,236,39987
THETOWN乐城 2室1厅 264万,THETOWN乐城 ,大运新城,2室1厅 | 51.74平米 | 西北 | 精装 | 高楼层(共33层) | 2014年建 | 板楼,264,51025
前海东岸次新盘，潜力大，精装修，业主诚心出售！,前海东岸 ,南头,2室2厅 | 78.64平米 | 东 | 精装 | 低楼层(共38层) | 2018年建 | 塔楼,890,113174
福安大厦户型方正大两房，配套成熟,福安大厦 ,福永,2室1厅 | 72.63平米 | 南 | 精装 | 中楼层(共8层) | 1998年建 | 板塔结合,320,44059
电梯精装2房，红本满五唯一，业主诚心出售,中城康桥花园二期 ,丹竹头,3室2厅 | 83.23平米 | 西南 | 精装 | 中楼层(共18层) | 2003年建 | 板楼,,52842
美丽365花园，满五唯一，红本在手，居住安静看花园,美丽365花园 ,龙华中心,3室1厅 | 85.2平米 | 东南 | 精装 | 低楼层(共8层) | 2003年建 | 板楼,460,53991
福园小区 居家3房 满五 红本在手 花园中间 准电梯房,福园小区 ,龙岗中心城,3室2厅 | 95.22平米 | 南 北 | 简装 | 中楼层(共7层) | 1999年建 | 板塔结合,368,38648
京基开发金地物业、带游泳池。满五年唯一、有钥匙,碧华庭居 ,梅林,3室2厅 | 106平米 | 西南 | 简装 | 中楼层(共17层) | 2000年建 | 塔楼,748,70567
万科城三期电梯洋房 中间楼层 视野开阔 满五年唯一,万科城三期 ,坂田,5室2厅 | 133.7平米 | 西北 | 简装 | 中楼层(共18层) | 2007年建 | 塔楼,710,53104
70年产权复式 业主诚心卖 户型方正,嘉葆润金座 ,新洲,2室1厅 | 35.16平米 | 北 | 简装 | 低楼层(共20层) | 2013年建 | 塔楼,268,76223
满五年。税费少，东南朝向. 超高使用率，带大平台,泰华明珠 ,西乡,3室2厅 | 118.41平米 | 东南 | 精装 | 低楼层(共33层) | 2003年建 | 塔楼,748,63171
盛世migme关口两房装修好满五年税费少,盛世名门 ,沙头角,2室2厅 | 69.6平米 | 北 | 简装 | 24层 | 2009年建 | 板塔结合,320,45978
满五年唯一    精装修   大两房,世纪春城四期 ,民治,2室1厅 | 83.48平米 | 南 | 精装 | 中楼层(共26层) | 2008年建 | 塔楼,550,65885
承翰南联公馆 两房一厅 业主自住,承翰南联公馆 ,龙岗中心城,2室1厅 | 41.12平米 | 西 | 精装 | 中楼层(共7层) | 2009年建 | 塔楼,140,34047
满五年  德福花园  电梯一房一厅  无增值税 学0区房,德福花园 ,布吉街,1室1厅 | 46.73平米 | 东 | 简装 | 高楼层(共19层) | 2003年建 | 塔楼,155,33170
布吉石芽岭 万科物业 东南向两房,半岛苑 ,布吉石芽岭,2室1厅 | 72平米 | 南 | 简装 | 中楼层(共8层) | 2000年建 | 板楼,270,37500
信义六期溢芳园，精装1房1厅，业主诚心出售,信义假日名城六期溢芳园 ,布吉关,1室1厅 | 44.5平米 | 北 | 简装 | 低楼层(共24层) | 2008年建 | 塔楼,240,53933
罗湖口岸 汇泰大厦 居家两房 南向采光充足,汇泰大厦 ,罗湖口岸,2室2厅 | 58.59平米 | 南 | 精装 | 中楼层(共33层) | 2008年建 | 板塔结合,345,58884
风和日丽二期 中间位置 中楼层 三房户型通透 诚售,风和日丽 ,龙华新区,3室2厅 | 88.27平米 | 南 | 精装 | 中楼层(共7层) | 2001年建 | 塔楼,450,50980
万科物业半岛苑正规两房，业主自住，装修保养好,半岛苑 ,布吉石芽岭,2室1厅 | 57.87平米 | 东南 | 精装 | 中楼层(共8层) | 2000年建 | 板楼,243,41991
次新小区 中间楼层 朝南看花园 业主诚心出售,华侨城四海云亭 ,沙井,4室2厅 | 129.2平米 | 南 北 | 毛坯 | 中楼层(共33层) | 2017年建 | 塔楼,650,50310
户型方正 文锦渡关口物业 环境好,龙园苑 ,黄贝岭,2室1厅 | 72.48平米 | 西南 | 精装 | 高楼层(共12层) | 2001年建 | 板塔结合,336,46358
2字头复式房子：满五低价小户型！看洪湖公园，快来,洪湖大厦 ,东门,1室1厅 | 45.39平米 | 南 | 精装 | 中楼层(共19层) | 1993年建 | 板塔结合,250,55079
满五唯一 红本在手 精装修 配套完善 地铁口 看房联系,泰富华庭 ,坪山,2室2厅 | 71.96平米 | 东南 | 精装 | 中楼层(共11层) | 2006年建 | 板塔结合,280,38911
双玺时光道 安静1房 看海上世界夜景,双玺时光道 ,蛇口,1室1厅 | 86.77平米 | 西南 | 精装 | 31层 | 2017年建 | 塔楼,1100,126772
9号线地铁口文锦渡口岸 一房一厅诚意出售,朗钜御风庭 ,黄贝岭,1室1厅 | 45.5平米 | 东南 | 简装 | 低楼层(共28层) | 2004年建 | 板塔结合,268,58902
凤凰花苑 2室1厅 415万,凤凰花苑 ,福永,2室1厅 | 69.91平米 | 东 | 精装 | 低楼层(共26层) | 2012年建 | 板塔结合,415,59363
远洋物业 精装两房 户型方正 业主诚心出售,远洋新天地 ,龙岗中心城,2室1厅 | 75.83平米 | 东南 | 精装 | 中楼层(共39层) | 2017年建 | 板塔结合,315,41541
中海怡翠一期2房 带花园 户型方正 看房方便,中海怡翠山庄一期 ,布吉水径,2室1厅 | 64.23平米 | 西南 | 简装 | 低楼层(共7层) | 2000年建 | 塔楼,318,49510
金众蓝钻 精装一房 业主诚心卖 拎包入住,金众蓝钻风景 ,龙岗宝荷,2室1厅 | 51.69平米 | 西 东 | 简装 | 高楼层(共11层) | 2009年建 | 板塔结合,145,28052
满两年 深中未用 鹏公馆两房 精装修 万科物业 看公园,鹏公馆 ,翠竹,2室2厅 | 37.09平米 | 西南 | 精装 | 中楼层(共29层) | 2009年建 | 塔楼,450,121327
此房满五，楼层好，电梯房，采光充足，安静,中海半山溪谷花园 ,盐田港,2室2厅 | 75.1平米 | 西 | 精装 | 中楼层(共9层) | 2008年建 | 板塔结合,285,37950
滢水山庄二区 2室1厅 370万,滢水山庄二区 ,梅林关,2室1厅 | 69.6平米 | 南 | 简装 | 中楼层(共8层) | 1999年建 | 板塔结合,370,53161
龙岗布吉公园旁 满五年南北通透格局小高层,大世纪水山缘 ,布吉南岭,2室2厅 | 67.32平米 | 南 北 | 简装 | 中楼层(共11层) | 2004年建 | 塔楼,308,45752
世纪春城四期朝南视野好两房急售！,世纪春城四期 ,民治,2室1厅 | 73.54平米 | 东南 | 精装 | 中楼层(共26层) | 2008年建 | 塔楼,515,70030
此房满五年 户型方正 利用率高 业主诚心放卖,佳宁娜广场 ,春风路,2室1厅 | 81.2平米 | 北 | 精装 | 中楼层(共31层) | 1997年建 | 板塔结合,340,41872
南联八仙岭公园    花园社区   电梯小高层,锦龙名苑 ,龙岗双龙,2室1厅 | 85.04平米 | 南 | 精装 | 低楼层(共9层) | 2008年建 | 板塔结合,260,30574
万科物业，此房旁边有大型商超万象汇,万科红一期 ,布吉关,1室1厅 | 41.65平米 | 东北 | 精装 | 高楼层(共31层) | 2011年建 | 板塔结合,285,68428
木棉湾地铁口方正实用两房 看房方便,灏景明苑 ,布吉街,2室2厅 | 75.25平米 | 南 北 | 精装 | 低楼层(共32层) | 2004年建 | 塔楼,313,41595
买一层实用两层 朝南 带天台大花园 满5年 安静看花园,中海怡翠山庄一期 ,布吉水径,2室1厅 | 67.53平米 | 南 | 精装 | 高楼层(共7层) | 2000年建 | 板楼,315,46646
客厅正出阳台，户型方正，采光好，精装自住,丽廷豪苑 ,布吉街,1室1厅 | 35.04平米 | 西北 | 精装 | 高楼层(共32层) | 2004年建 | 塔楼,165,47090
少有小两房 总价低 满两年 近xuexiao,承翰南联公馆 ,龙岗中心城,2室1厅 | 55.65平米 | 西南 | 精装 | 低楼层(共7层)  | 塔楼,,27835
深圳国贸 大一房 地铁口物业 满两年住家精装 随时可签,银座金钻 ,春风路,1室1厅 | 41.29平米 | 北 | 精装 | 中楼层(共30层) | 1992年建 | 板塔结合,198,47954
华业玫瑰四季二期 一手精装两房,华业玫瑰四季馨园二期 ,红山,2室1厅 | 49.63平米 | 东 | 精装 | 高楼层(共32层) | 2017年建 | 塔楼,470,94701
满五唯一，税少，总价低，适合刚需客，。,德福花园 ,布吉街,2室1厅 | 43.07平米 | 南 北 | 简装 | 低楼层(共8层) | 1998年建 | 塔楼,143,33202
德福花园 2室1厅 130万,德福花园 ,布吉街,2室1厅 | 43平米 | 北 | 简装 | 高楼层(共8层) | 1998年建 | 塔楼,130,30233
地铁口物业 两房两厅大阳台朝南自住保养好 税费少,美杜兰华庭 ,布吉街,2室2厅 | 82.71平米 | 南 | 精装 | 中楼层(共18层) | 2005年建 | 板塔结合,320,38690
户型方正 楼龄新 地理位置好 配套齐 车位足,嘉洲富苑 ,新洲,3室1厅 | 79.26平米 | 南 | 简装 | 中楼层(共30层) | 2012年建 | 塔楼,605,76332
海丽大厦，精装修，诚心出售，看房提前约,海丽大厦 ,螺岭,2室1厅 | 83平米 | 西南 | 精装 | 中楼层(共32层) | 1993年建 | 塔楼,450,54217
长龙地铁口 丽廷豪苑  方正一房 业主诚心出售,丽廷豪苑 ,布吉街,1室0厅 | 22.56平米 | 西南 | 简装 | 高楼层(共32层) | 2004年建 | 塔楼,95,42110
18年的精装修，自住，北向安静看塘朗山山景，厅出阳台,碧华庭居 ,梅林,2室1厅 | 86.84平米 | 北 | 精装 | 高楼层(共17层) | 2000年建 | 塔楼,670,77154
港铁天颂 全明户型 方正实用 高层视野开阔,港铁天颂 ,上塘,3室2厅 | 88.7平米 | 东南 西北 | 精装 | 高楼层(共48层) | 2017年建 | 塔楼,710,80046
红本在手 双地铁 南向 一房一厅出售,旭飞华达园 ,百仕达,1室1厅 | 42.07平米 | 南 | 精装 | 21层 | 2002年建 | 塔楼,225,53483
布吉大芬地铁站 东南向电梯两房 刚需上车盘 诚心出售,茂业城 ,布吉大芬,2室1厅 | 52.81平米 | 东南 | 简装 | 中楼层(共33层) | 1997年建 | 板塔结合,185,35032
承翰陶源 次新房  精装修2房  朝南 业主诚心出售,承翰陶源 ,龙岗中心城,2室1厅 | 78.32平米 | 南 | 精装 | 高楼层(共33层) | 2014年建 | 板塔结合,265,33836
一步罗湖 扩展面积多 3+2房 南向看花园,佳兆业可园三期 ,布吉关,4室2厅 | 94.15平米 | 南 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,588,62454
"满五大型花园社区,中间楼层高使用率每个房间12平以上",丽湖花园一期 ,布吉水径,2室1厅 | 78.78平米 | 东 | 简装 | 中楼层(共8层) | 1997年建 | 板塔结合,250,31734
满五年税少，小区环境好，人车分流！,泽润华庭 ,布吉街,2室1厅 | 71平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 板塔结合,292,41127
东南朝向 客厅出阳台  诚心出售  户型利用率高,嘉亿爵悦 ,大运新城,3室2厅 | 79平米 | 南 | 精装 | 高楼层(共32层) | 2016年建 | 塔楼,400,50633
国展苑 2室1厅 264.8万,国展苑 ,布吉关,2室1厅 | 86平米 | 东南 | 精装 | 低楼层(共30层) | 1998年建 | 塔楼,,30791
满五年唯一，红本在手，楼层好，精装修。,万科红四期 ,布吉关,2室1厅 | 77.64平米 | 南 | 精装 | 低楼层(共32层) | 2015年建 | 板塔结合,500,64400
满五年唯一 红本在手 高楼层 视野好 地铁物业,鹏盛村 ,八卦岭,1室0厅 | 38.82平米 | 北 | 精装 | 高楼层(共24层) | 1994年建 | 板塔结合,300,77280
电梯住宅俩房 西南朝向视野采光无遮挡,白金酒店公寓 ,新安,2室1厅 | 37.32平米 | 西南 | 简装 | 低楼层(共32层) | 2005年建 | 板楼,330,88425
满5年免增值税，红本在手，前门地铁后门公园,康达尔花园三期 ,布吉大芬,2室1厅 | 64.19平米 | 东南 | 简装 | 中楼层(共10层) | 2002年建 | 板塔结合,278,43309
地铁口 正规二房 看房方便 业主诚意出售 居家合适,水晶之城 ,横岗,2室2厅 | 66.89平米 | 西南 | 简装 | 低楼层(共6层) | 2003年建 | 板塔结合,249,37226
满二年 无欠款 单价低 电梯房,翠景居 ,西乡,1室1厅 | 35.82平米 | 西南 | 精装 | 中楼层(共8层) | 1997年建 | 塔楼,195,54439
阳光花园 金地 满五年免个税 两房 南向 下水径,阳光花园 ,布吉街,2室1厅 | 58.27平米 | 西 | 精装 | 高楼层(共7层) | 2003年建 | 板塔结合,248,42561
电梯小两房  满五年  高楼层  采光通风好,德福花园 ,布吉街,2室1厅 | 51.68平米 | 东 | 简装 | 高楼层(共19层) | 2003年建 | 塔楼,190,36765
满五唯一，红本在手，业主诚心出售！,布吉区金沙花园 ,布吉街,2室1厅 | 55.1平米 | 南 | 简装 | 低楼层(共3层) | 1993年建 | 板塔结合,136,24683
安华小区稀有放盘，业主诚意出售..,安华小区 ,车公庙,2室1厅 | 54.29平米 | 南 东南 | 简装 | 中楼层(共7层)  | 板楼,,80000
成熟社区 精装大两房 位置安静 满五唯一,风和日丽 ,龙华新区,2室1厅 | 75.16平米 | 东南 | 精装 | 高楼层(共8层) | 2002年建 | 塔楼,368,48963
型方正实用  配套齐全 交通方便 诚心卖,银晖名居 ,银湖,1室1厅 | 36.24平米 | 南 | 简装 | 中楼层(共19层) | 2005年建 | 塔楼,225,62087
经理推荐   万科伴山物业  精致两房,山湖居 ,布心,2室1厅 | 59.74平米 | 北 | 精装 | 低楼层(共10层) | 2003年建 | 板塔结合,350,58588
小区环境好 带泳池的花园社区，满两年税费很低,缤纷时代家园 ,螺岭,1室0厅 | 28.14平米 | 东南 | 精装 | 中楼层(共32层) | 2004年建 | 板塔结合,263,93462
好房来袭 大花园社区 万象汇配套 户型方正实用,信义荔山公馆 ,布吉关,2室1厅 | 73.81平米 | 东 | 精装 | 低楼层(共30层) | 2009年建 | 板塔结合,,55860
三号线丹竹头地铁口正规两房出售，户型方正双阳台,英郡年华 ,丹竹头,2室1厅 | 70.61平米 | 东北 | 精装 | 中楼层(共18层) | 2006年建 | 塔楼,335,47444
阳光花园一楼带花园，满4年总价低看房方便，业主诚售,阳光花园 ,布吉街,2室1厅 | 55.87平米 | 东 北 | 简装 | 低楼层(共7层) | 2001年建 | 板塔结合,266,47611
高层南向，满五唯一，户型方正，厅出阳台,金港豪庭 ,皇岗,2室1厅 | 76.52平米 | 南 | 精装 | 高楼层(共32层) | 2003年建 | 塔楼,660,86252
地铁口次新房 全新装修北欧风格 车位充足业主专用车库,倚龙华庭 ,布吉大芬,2室2厅 | 47.77平米 | 西 北 | 精装 | 中楼层(共27层) | 2016年建 | 塔楼,269,56312
金成时代 大两房西南看君逸世家花园 满五年红本在手,金成时代家园 ,宝安中心,2室2厅 | 81.71平米 | 西南 | 精装 | 中楼层(共18层) | 2006年建 | 板塔结合,815,99743
东门天下的好户型，视野开阔，3号线地铁上物业。,东门天下 ,东门,3室1厅 | 90.3平米 | 西南 | 精装 | 高楼层(共31层) | 2005年建 | 塔楼,650,71983
大芬地铁口，中房怡芬户型方正，业主诚心出售,中房怡芬花园 ,布吉大芬,2室1厅 | 61平米 | 南 | 简装 | 高楼层(共8层) | 1997年建 | 塔楼,242,39673
满四年费用少，业主诚心卖，楼层好，精装修,万科红一期 ,布吉关,1室1厅 | 39.7平米 | 西南 | 精装 | 中楼层(共31层) | 2011年建 | 板塔结合,270,68011
振业峦山谷精装三房 朝南看山景 看房随时可以,振业峦山谷 ,龙岗宝荷,3室1厅 | 88.78平米 | 南 | 精装 | 高楼层(共33层) | 2010年建 | 板塔结合,323,36383
朗庭豪园 高层两房 业主诚心放卖,朗庭豪园 ,福田保税区,2室1厅 | 71.68平米 | 东北 | 简装 | 中楼层(共18层) | 2000年建 | 塔楼,585,81613
房子方正，小区带花园，配套齐全，户型采光通风好,都市名园 ,万象城,2室1厅 | 62.78平米 | 南 | 精装 | 高楼层(共32层) | 2000年建 | 平房,410,65308
布吉鸿润豪苑 南北对流两房 红本满五唯一,鸿润豪苑 ,布吉南岭,2室1厅 | 67.97平米 | 南 北 | 精装 | 低楼层(共18层) | 2009年建 | 板塔结合,250,36778
地铁口精装户型方正万科物业，靠洪湖公园 适合居住。,鹏公馆 ,翠竹,1室1厅 | 36.66平米 | 西南 | 精装 | 中楼层(共29层) | 2009年建 | 塔楼,450,122750
中兆温馨小两居 地铁口 中间楼层 价格美丽,中兆花园 ,布吉大芬,2室1厅 | 46.1平米 | 南 | 简装 | 中楼层(共8层) | 2000年建 | 板塔结合,220,47723
东方都会正规一房一厅 满五年唯一 税费少 诚心出售,京基东方都会 ,新秀,1室1厅 | 35.06平米 | 北 | 精装 | 高楼层(共32层) | 2004年建 | 板塔结合,190,54193
西湖花园大两房，高层满五唯一，近红岭地铁,西湖花园 ,地王,2室1厅 | 88.99平米 | 西南 | 精装 | 中楼层(共32层) | 1994年建 | 板塔结合,365,41016
11号地铁口两房推荐，满五唯一，城心在售。,金域豪庭 ,福永,2室2厅 | 51.73平米 | 西南 | 精装 | 高楼层(共13层) | 2011年建 | 板塔结合,395,76359
龙华电梯两房 业主自住保养不错 看房方便 诚心卖,合能城市阳光花园 ,龙华中心,2室2厅 | 67.61平米 | 东北 | 精装 | 中楼层(共22层) | 2011年建 | 板塔结合,284,42006
"蔡屋围京基一房，婚房装修，拎包入住,",京基一百大厦 ,地王,1室1厅 | 43.09平米 | 东 | 简装 | 高楼层(共32层) | 2010年建 | 板塔结合,330,76584
国贸，人民南好房，满五年，诚心出售,双城世纪 ,罗湖口岸,1室0厅 | 34.12平米 | 南 | 精装 | 中楼层(共29层) | 2007年建 | 板塔结合,170,49825
"满五年，业主诚心出售，花园小区带泳池,车位充足",合正荣悦 ,黄贝岭,2室1厅 | 65.97平米 | 东南 | 精装 | 低楼层(共32层) | 2013年建 | 塔楼,660,100046
"星桂园高层精装大两房，满五唯一，户型方正,花园社区",星桂园 ,地王,2室1厅 | 60.91平米 | 东 | 精装 | 中楼层(共20层) | 2004年建 | 板塔结合,426,69940
安静 安静 安静三房！中高楼层看花园！看了会喜欢！,颐安都会中央二期 ,大运新城,3室2厅 | 88.44平米 | 东南 | 精装 | 中楼层(共33层) | 2016年建 | 塔楼,520,58797
精装一房一厅，小高层，采光好，户型佳,泽润华庭 ,布吉街,1室1厅 | 48.45平米 | 北 | 精装 | 中楼层(共11层) | 2005年建 | 板塔结合,207,42725
下梅林少有精装两房，业主诚意出售，满两年免增值税,迷你新居福田 ,梅林,2室1厅 | 35.28平米 | 南 | 精装 | 高楼层(共16层) | 2008年建 | 塔楼,298,84468
满五唯一，地铁口物业，标准一房厅，户型正业主诚心售,金水湾御园 ,盐田港,1室1厅 | 35.84平米 | 西北 | 简装 | 低楼层(共23层) | 2008年建 | 塔楼,144,40179
深圳东站旁，双地铁口，楼下公园，电梯房，满2年,宝龙花园 ,布吉街,2室1厅 | 57.53平米 | 东南 | 精装 | 低楼层(共28层) | 2004年建 | 塔楼,205,35634
房子满五唯一  通风采光好  看房方便,学府花园 ,南山中心,2室2厅 | 77.69平米 | 北 | 精装 | 低楼层(共17层) | 1999年建 | 塔楼,685,88171
金地大社区，车位充足，配套全，2楼看花园,金海湾花园 ,上下沙,2室1厅 | 86.79平米 | 西南 | 精装 | 低楼层(共25层) | 2001年建 | 板塔结合,670,77198
满五唯一 红本在手 朝南户型好 通风 视野宽阔,龙岭山庄 ,布吉街,2室1厅 | 65.33平米 | 南 | 精装 | 高楼层(共8层) | 1999年建 | 板塔结合,240,36737
此房满两年，精装修，采光通风好，小区环境很好,岭尚时代园 ,八卦岭,1室1厅 | 36.35平米 | 北 | 简装 | 中楼层(共27层) | 2007年建 | 板塔结合,420,115544
园岭花园 3室1厅 850万,园岭花园 ,园岭,3室1厅 | 94平米 | 东 东北 | 精装 | 高楼层(共30层) | 1991年建 | 板楼,850,90426
户型方正，安静不杂乱，业主诚卖,德福花园 ,布吉街,2室1厅 | 43.07平米 | 北 | 简装 | 中楼层(共8层) | 1998年建 | 塔楼,134,31113
3号线地铁口两房  花园社区 带泳池和幼儿园,中兆花园 ,布吉大芬,2室1厅 | 70.06平米 | 东北 | 简装 | 高楼层(共22层) | 2001年建 | 板塔结合,275,39253
高层，视野好，房子保养好，厅出阳台，红本满五唯一,新银座华庭 ,罗湖口岸,1室1厅 | 39.98平米 | 北 | 精装 | 中楼层(共31层) | 2005年建 | 塔楼,225,56279
木棉湾地铁口满3年业主自住，装修保养好诚售看房方便,布吉中心花园 ,布吉街,2室1厅 | 65.3平米 | 东 | 简装 | 低楼层(共28层) | 2005年建 | 板塔结合,306,46861
长乐花园 正规两房 红本在手 业主诚心卖,长乐花园 ,百花,2室1厅 | 90.9平米 | 西北 | 精装 | 中楼层(共29层) | 1994年建 | 塔楼,1270,139714
红本满五 精装3房 大厨房 高楼层  看园景,大世纪水山缘 ,布吉南岭,3室2厅 | 78.05平米 | 北 | 精装 | 高楼层(共11层) | 2004年建 | 塔楼,328,42025
满五年仅有契税！东南向安静！带平台花园！已改三房！,雅涛花园 ,西乡,3室1厅 | 66.61平米 | 东南 | 精装 | 低楼层(共7层) | 2000年建 | 板塔结合,490,73563
精装两房，高楼层看笔架山公园，,新阁小区 ,银湖,2室1厅 | 50.2平米 | 北 | 精装 | 高楼层(共24层) | 1995年建 | 塔楼,308,61355
